route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
R001,WK,R001WKL000153,Station 1,0,4,0,1
R001,WK,R001WKL000154,Station 1,0,4,0,1
R001,WK,R001WKL000155,Station 1,0,4,0,1
R001,WK,R001WKL000156,Station 1,0,4,0,1
R001,WK,R001WKL000157,Station 1,0,4,0,1
R001,WK,R001WKL000158,Station 1,0,4,0,1
R001,WK,R001WKL000159,Station 1,0,4,0,1
R001,WK,R001WKL000160,Station 1,0,4,0,1
R001,WK,R001WKL000161,Station 1,0,4,0,1
R001,WK,R001WKL000162,Station 1,0,4,0,1
R001,WK,R001WKL000163,Station 1,0,4,0,1
R001,WK,R001WKL000164,Station 1,0,4,0,1
R001,WK,R001WKL000165,Station 1,0,4,0,1
R001,WK,R001WKL000166,Station 1,0,4,0,1
R001,WK,R001WKL000167,Station 1,0,4,0,1
R001,WK,R001WKL000168,Station 1,0,4,0,1
R001,WK,R001WKL000169,Station 1,0,4,0,1
R001,WK,R001WKL000170,Station 1,0,4,0,1
R001,WK,R001WKL000171,Station 1,0,4,0,1
R001,WK,R001WKL000172,Station 1,0,4,0,1
R001,WK,R001WKL000173,Station 1,0,4,0,1
R001,WK,R001WKL000174,Station 1,0,4,0,1
R001,WK,R001WKL000175,Station 1,0,4,0,1
R001,WK,R001WKL000176,Station 1,0,4,0,1
R001,WK,R001WKL000177,Station 1,0,4,0,1
R001,WK,R001WKL000178,Station 1,0,4,0,1
R001,WK,R001WKL000179,Station 1,0,4,0,1
R001,WK,R001WKL000180,Station 1,0,4,0,1
R001,WK,R001WKL000181,Station 1,0,4,0,1
R001,WK,R001WKL000182,Station 1,0,4,0,1
R001,WK,R001WKL000183,Station 1,0,4,0,1
R001,WK,R001WKL000184,Station 1,0,4,0,1
R001,WK,R001WKL000185,Station 1,0,4,0,1
R001,WK,R001WKL000186,Station 1,0,4,0,1
R001,WK,R001WKL000187,Station 1,0,4,0,1
R001,WK,R001WKL000188,Station 1,0,4,0,1
R001,WK,R001WKL000189,Station 1,0,4,0,1
R001,WK,R001WKL000190,Station 1,0,4,0,1
R001,WK,R001WKL000191,Station 1,0,4,0,1
R001,WK,R001WKL000192,Station 1,0,4,0,1
R001,WK,R001WKL000193,Station 1,0,4,0,1
R001,WK,R001WKL000194,Station 1,0,4,0,1
R001,WK,R001WKL000195,Station 1,0,4,0,1
R001,WK,R001WKL000196,Station 1,0,4,0,1
R001,WK,R001WKL000197,Station 1,0,4,0,1
R001,WK,R001WKL000198,Station 1,0,4,0,1
